Cust #,BillFirstName,BillLastName,BillEmail,BillCompany,BillAddress,BillAddress2,BillCity,BillState,BillZip,BillCountry,BillPhone,BillFax,ShipFirstName,ShipLastName,ShipEmail,ShipCompany,ShipAddress,ShipAddress2,ShipCity,ShipState,ShipZip,ShipCountry,ShipPhone,ShipFax,Custom Discount,Cust. Class,OptIn,TaxExempt,AccountNotes,Date Added,AdditionalEmails,Dob,ShipBirthDate,TaxFreeDrivingLicense,TaxFreeDrivingLicenseExpDate,TaxFreeLastName,TaxFreeFirstName,TaxFreeStateAbbrev,TabcNumber,SourceCodes,LoyaltyPointsAvailable,TotalCustomerValue,MemberAccountAvailableBalance
9096,Laura,Rvzoo,captainrafiki88@gmail.com,,13456 Flag Way,,Paso Robles,CA,93446,UNITED STATES,145-666-9403,,Laura,Rvzoo,captainrafiki88@gmail.com,,13456 Fag Way,,Paso Robles,CA,93446,UNITED STATES,145-666-9403,,,Gold Club,No,No,,1/19/2021 11:21:53 AM,,1/1/1960 12:00:00 AM,1/1/1960 12:00:00 AM,,,,,,,,1668,502.4,
9098,Lisa,Silverman,lisa@op.org,,1233 Vine Street,,Paso Robles,CA,93446,UNITED STATES,123-123-1234,,,,lisa@op.org,,,,,,,UNITED STATES,,,,Gold Club,Yes,No,,1/20/2021 3:01:06 PM,,1/15/1960 12:00:00 AM,,,,,,,,,16740,3348,
9099,Paul,Smith,paul@123.net,,234 Panorama Drive,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,,,,paul@123.net,,,,,,,UNITED STATES,,,,Gold Club,Yes,No,,1/20/2021 3:04:56 PM,,1/16/1970 12:00:00 AM,,,,,,,,,15520,3104,
9100,Joe,Jones,joe@123.net,,2362 Tractor Street,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,,Joe,Jones,joe@123.net,,2362 Tractor Street,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,,,Gold Club,Yes,No,,1/20/2021 3:06:31 PM,,2/1/1973 12:00:00 AM,2/1/1973 12:00:00 AM,,,,,,,,20508,4101.6,
9101,Sally,Rose,sally@123.ne,,560 Las Tablas Road,,Templeton,CA,93465,UNITED STATES,123-456-7890,,Sally,Rose,sally@123.ne,,560 Las Tablas Road,,Templeton,CA,93465,UNITED STATES,123-456-7890,,,Gold Club,Yes,No,,1/20/2021 3:08:39 PM,,2/20/1980 12:00:00 AM,2/20/1980 12:00:00 AM,,,,,,,,20508,4677.6,
9102,Jesse,Roads,Jesse@123.net,,566 Mississippi 6,,Batesville,MO,38606,UNITED STATES,234-156-7890,,Jesse,Roads,Jesse@123.net,,566 Mississippi 6,,Batesville,MO,38606,UNITED STATES,234-156-7890,,,Gold Club,No,No,,1/20/2021 3:12:09 PM,,2/19/1977 12:00:00 AM,,,,,,,,,0,,
9103,Peter,Parker,peter@123.net,,479 West Braker Lane,,Austin,TX,78753,UNITED STATES,123-432-6789,,Peter,Parker,peter@123.net,,479 West Braker Lane,,Austin,TX,78753,UNITED STATES,123-432-6789,,,Gold Club,Yes,No,"(Date: 2021-08-25 15:24:20.3539510, Author: LauraOP, Note: Birthday this weekend. Pre buy a bottle of bubbles)    (Date: 2021-08-25 10:03:09.4946534, Author: LauraOP, Note: Reservation: Reservation Scheduled&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 08/27/2021&#x0D;
	Time: 1:30 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 160045&#x0D;
	Order #: 3278&#x0D;
Contact Person&#x0D;
	Peter Parker&#x0D;
	123-432-6789&#x0D;
	peter@123.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-02-02 11:06:41.2560752, Author: LauraOP, Note: Approved 6 comp tastings)    (Date: 2021-01-20 15:50:47.1590552, Author: LauraOP, Note: Approved for 6 club tastings)",1/20/2021 3:14:35 PM,,3/6/1977 12:00:00 AM,3/6/1977 12:00:00 AM,,,,,,,,90972,20001.05,
9104,Bruce,Wayne,bruce@123.op,,187 Gotham Street,,Chula Vista,CA,91910,UNITED STATES,123-098-7654,,Bruce,Wayne,bruce@123.op,,187 Gotham Street,,Chula Vista,CA,91910,UNITED STATES,123-098-7654,,,Gold Club,Yes,No,,1/20/2021 3:16:58 PM,,3/25/1988 12:00:00 AM,3/25/1988 12:00:00 AM,,,,,,,,14516,2903.2,
9105,Tony,Stark,tony@op.po,,582 Ladle Lane,,Austin,TX,78734,UNITED STATES,123-678-0943,,Tony,Stark,tony@op.po,,582 Ladle Lane,,Austin,TX,78734,UNITED STATES,123-678-0943,,,Gold Club,No,No,"(Date: 2021-07-14 00:26:54.8988833, Author: LauraOP, Note: Big buyer comp cheese plate)",1/20/2021 3:32:57 PM,,4/8/1971 12:00:00 AM,4/8/1971 12:00:00 AM,,,,,,,,31865,7597.62,3.02
9106,Pepper,Potts,pepper@op.po,,217 Ferro Lane,,Paso Robles,CA,93446,UNITED STATES,789-054-2678,,Pepper,Potts,pepper@op.po,,217 Ferro Lane,,Paso Robles,CA,93446,UNITED STATES,789-054-2678,,,Gold Club,Yes,No,,1/20/2021 3:35:24 PM,,5/8/1973 12:00:00 AM,5/8/1973 12:00:00 AM,,,,,,,,20508,4101.6,
9107,Natasha,Romanoff,natasha@op.po,,879 Ford Road,,St. Louis Park,MN,55426,UNITED STATES,479-086-4321,,Natasha,Romanoff,natasha@op.po,,879 Ford Road,,St. Louis Park,MN,55426,UNITED STATES,479-086-4321,,,Gold Club,No,No,,1/20/2021 3:38:17 PM,,6/14/1985 12:00:00 AM,6/14/1985 12:00:00 AM,,,,,,,,0,,
9108,Robby,Star,robby@op.po,,,,,,,UNITED STATES,,,Robby,Star,robby@op.po,,703 Truett Drive,,Tallahassee,FL,32303,UNITED STATES,000-000-0000,,,Consumer,No,No,,1/20/2021 3:57:11 PM,,1/1/1960 12:00:00 AM,,,,,,,,,0,210.01,
9110,Evan,Taylor,evan@op.po,,229 Silver Oak Drive,,Paso Robles,CA,93446,UNITED STATES,123-456-8906,,,,evan@op.po,,,,,,,UNITED STATES,,,,Tier Case Club,No,No,,1/20/2021 7:26:42 PM,,7/28/1974 12:00:00 AM,,,,,,,,,0,,
9111,Thomas,Noble,tom@op.po,,280 Righton Lane,,Chattanooga,TN,37416,UNITED STATES,098-765-4321,,Thomas,Noble,tom@op.po,,280 Righton Lane,,Chattanooga,TN,37416,UNITED STATES,098-765-4321,,,Silver Club,No,No,,1/20/2021 7:29:27 PM,,6/11/1993 12:00:00 AM,6/11/1993 12:00:00 AM,,,,,,,,0,,
9112,Rob,Marquez,rob@op.po,,29976 Pocahontas Court,,Paso Robles,CA,93446,UNITED STATES,167-345-0982,,,,rob@op.po,,,,,,,UNITED STATES,,,,Consumer,No,No,,1/20/2021 7:33:00 PM,,11/18/1992 12:00:00 AM,,,,,,,,,0,318.75,
9113,Harry,Potter,harry@po.op,,124 Hogwarts Circle,,Petaluma,CA,94954,UNITED STATES,345-789-0126,,Harry,Potter,harry@po.op,,124 Hogwarts Circle,,Petaluma,CA,94954,UNITED STATES,345-789-0126,,,Silver Club,Yes,No,,1/20/2021 7:36:43 PM,,9/10/1993 12:00:00 AM,9/10/1993 12:00:00 AM,,,,,,,,4796,1778.2,
9114,Ron,Weasley,ron@op.po,,127 Hogwarts Drive,,Rives Junction,MI,49277,UNITED STATES,679-023-4567,,,,ron@op.po,,,,,,,UNITED STATES,,,,Consumer,No,No,,1/20/2021 7:40:56 PM,,12/12/1960 12:00:00 AM,,,,,,,,,0,,
