ClassOrClub,BillingFirstName,BillingLastName,BillingCompany,BillingAddress,BillingAddress2,BillingCity,BillState,BillZipCode,BillCountry,BillPhone,BillEmail,BirthDate,ShipFirstName,ShipLastName,ShipCompany,ShipAddress,ShipAddress2,ShipCity,ShipState,ShipZipCode,ShipCountry,ShipPhone,ShipEmail,CCNumber,CCExpMonth,CCExpYear,NameOnCard,Pickup,PickupLocation,SignUpDate,OnHoldUntil,WineClubNotes,AccountNotes,Password,OptIn,TaxExempt,CustNum
Black Diamond,Laura,Rvzoo,,13456 Flag Way,,Paso Robles,CA,93446,UNITED STATES,145-666-9403,captainrafiki88@gmail.com,1/1/1960 0:00,Laura,Rvzoo,,13456 Fag Way,,Paso Robles,CA,93446,UNITED STATES,145-666-9403,captainrafiki88@gmail.com,,,,,Y,Tasting Room,1/19/2021 11:21,,,"(Date: 2021-07-23 17:07:26.7002200, Author: Customer, Note: Reservation: 11:00 AM / Rick Balile / 2 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/28/2021&#x0D;
	Time: 11:00 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 147370&#x0D;
Contact Person&#x0D;
	Rick Balile&#x0D;
	206-399-6100&#x0D;
	Rbalile@op.net&#x0D;
Notes: &#x0D;
	Need wheelchair access)",,N,N,9096
Black Diamond,Lisa,Silverman,,1233 Vine Street,,Paso Robles,CA,93446,UNITED STATES,123-123-1234,lisa@op.org,1/15/1960 0:00,,,,,,,,,UNITED STATES,,lisa@op.org,,,,,Y,Tasting Room,1/20/2021 15:01,,,"(Date: 2021-07-22 14:01:32.2421705, Author: Customer, Note: Reservation: 2:00 PM / Carlos Reiner / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 2:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146701&#x0D;
	Order #: 3014&#x0D;
Contact Person&#x0D;
	Carlos Reiner&#x0D;
	125-331-4896&#x0D;
	cpjr90@gmail.com&#x0D;
Notes: &#x0D;
	n/a)",,Y,N,9098
Black Diamond,Paul,Smith,,234 Panorama Drive,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,paul@123.net,1/16/1970 0:00,,,,,,,,,UNITED STATES,,paul@123.net,,,,,Y,Tasting Room,1/20/2021 15:04,,"(Date: 2021-07-27 15:15:52.0024687, Author: Customer, Note: Reservation: 4:30 PM / Timmy Huff / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 148828&#x0D;
	Order #: 3059&#x0D;
	Prepaid: $132.12&#x0D;
Contact Person&#x0D;
	Timmy Huff&#x0D;
	456-456-8435&#x0D;
	timh888@orderport.net&#x0D;
Notes: &#x0D;
	test message)","(Date: 2021-07-27 15:15:52.0024687, Author: Customer, Note: Reservation: 4:30 PM / Timmy Huff / 6 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/31/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 6&#x0D;
	Reservation #: 148828&#x0D;
	Order #: 3059&#x0D;
	Prepaid: $132.12&#x0D;
Contact Person&#x0D;
	Timmy Huff&#x0D;
	456-456-8435&#x0D;
	timh888@orderport.net&#x0D;
Notes: &#x0D;
	test message)",,Y,N,9099
Black Diamond,Joe,Jones,,2362 Tractor Street,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,joe@123.net,2/1/1973 0:00,Joe,Jones,,2362 Tractor Street,,Paso Robles,CA,93446,UNITED STATES,123-456-7890,joe@123.net,,,,,Y,Tasting Room,1/20/2021 15:06,,,"(Date: 2021-07-29 12:39:11.1260160, Author: Customer, Note: Reservation: 3:00 PM / Bonnie Kakos / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 08/14/2021&#x0D;
	Time: 3:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 149504&#x0D;
	Order #: 3064&#x0D;
Contact Person&#x0D;
	Bonnie Kakos&#x0D;
	805-226-4005&#x0D;
	bonnie@pianettawinery.com&#x0D;
Notes: &#x0D;
	Can not wait)",,Y,N,9100
Black Diamond,Sally,Rose,,560 Las Tablas Road,,Templeton,CA,93465,UNITED STATES,123-456-7890,sally@123.ne,2/20/1980 0:00,Sally,Rose,,560 Las Tablas Road,,Templeton,CA,93465,UNITED STATES,123-456-7890,sally@123.ne,,,,,Y,Tasting Room,1/20/2021 15:08,,,"(Date: 2021-07-23 06:11:07.4372894, Author: Customer, Note: Reservation: 2:00 PM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 2:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146980&#x0D;
	Order #: 3019&#x0D;
	Prepaid: $44.04&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-23 06:09:50.9932282, Author: Customer, Note: Reservation: 11:00 AM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 11:00 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 146979&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-22 07:57:11.9721281, Author: Customer, Note: Reservation: 5:00 PM / Mihai Scutariu / 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 5:00 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 146431&#x0D;
	Order #: 2976&#x0D;
	Prepaid: $88.08&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	test notes)    (Date: 2021-07-22 07:55:46.3037874, Author: Customer, Note: Reservation: 2:30 PM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 2:30 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: &#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 06:27:02.3166410, Author: Customer, Note: Reservation: 10:00 AM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/23/2021&#x0D;
	Time: 10:00 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 145629&#x0D;
	Order #: 2954&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 05:34:46.4591138, Author: Customer, Note: Reservation: 8:00 AM / Mihai Scutariu / 1 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/22/2021&#x0D;
	Time: 8:00 AM&#x0D;
	Guests: 1&#x0D;
	Reservation #: 145623&#x0D;
	Order #: 2953&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	211-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 05:00:30.6436450, Author: Customer, Note: Reservation: 11:30 AM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 07/23/2021&#x0D;
	Time: 11:30 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 145619&#x0D;
	Order #: 2952&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 04:51:33.9977694, Author: Customer, Note: Reservation: 11:15 AM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 11:15 AM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 145617&#x0D;
	Order #: 2951&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-07-20 03:27:21.5679838, Author: Customer, Note: Reservation: 12:00 PM / Mihai Scutariu / 2 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 07/24/2021&#x0D;
	Time: 12:00 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 145609&#x0D;
	Order #: 2949&#x0D;
Contact Person&#x0D;
	Mihai Scutariu&#x0D;
	111-111-1111&#x0D;
	mihai.sc@orderport.net&#x0D;
Notes: &#x0D;
	n/a)",,Y,N,9101
Black Diamond,Jesse,Roads,,566 Mississippi 6,,Batesville,MO,38606,UNITED STATES,234-156-7890,Jesse@123.net,2/19/1977 0:00,Jesse,Roads,,566 Mississippi 6,,Batesville,MO,38606,UNITED STATES,234-156-7890,Jesse@123.net,,,,,Y,Tasting Room,1/20/2021 15:12,,,"(Date: 2021-09-01 14:43:53.8831205, Author: Customer, Note: Reservation: 6:00 PM / mark hegewald / 4 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 09/11/2021&#x0D;
	Time: 6:00 PM&#x0D;
	Guests: 4&#x0D;
	Reservation #: 162752&#x0D;
	Order #: 3444&#x0D;
	Prepaid: $60.00&#x0D;
Contact Person&#x0D;
	mark hegewald&#x0D;
	206-224-2345&#x0D;
	hegewald@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-08-05 16:53:53.4027017, Author: Customer, Note: Reservation: 4:30 PM / Mark Ratzlaff / 1 people&#x0D;
Details&#x0D;
	Location: Bistro&#x0D;
	Date: 08/06/2021&#x0D;
	Time: 4:30 PM&#x0D;
	Guests: 1&#x0D;
	Reservation #: 152634&#x0D;
Contact Person&#x0D;
	Mark Ratzlaff&#x0D;
	333-333-3333&#x0D;
	hegewald@orderport.net&#x0D;
Notes: &#x0D;
	n/a)",,N,N,9102
Black Diamond,Peter,Parker,,479 West Braker Lane,,Austin,TX,78753,UNITED STATES,123-432-6789,peter@123.net,3/6/1977 0:00,Peter,Parker,,479 West Braker Lane,,Austin,TX,78753,UNITED STATES,123-432-6789,peter@123.net,,,,,Y,Tasting Room,1/20/2021 15:14,,,,,Y,N,9103
Black Diamond,Bruce,Wayne,,187 Gotham Street,,Chula Vista,CA,91910,UNITED STATES,123-098-7654,bruce@123.op,3/25/1988 0:00,Bruce,Wayne,,187 Gotham Street,,Chula Vista,CA,91910,UNITED STATES,123-098-7654,bruce@123.op,,,,,Y,Tasting Room,1/20/2021 15:16,,,"(Date: 2021-08-26 10:18:51.8071968, Author: Customer, Note: Reservation: 1:00 PM / Hank Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 08/28/2021&#x0D;
	Time: 1:00 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 160435&#x0D;
	Order #: 3380&#x0D;
	Prepaid: $20.00&#x0D;
Contact Person&#x0D;
	Hank Huff&#x0D;
	512-555-5555&#x0D;
	hank@orderport.net&#x0D;
Notes: &#x0D;
	n/a)    (Date: 2021-08-26 09:18:39.5390286, Author: Customer, Note: Reservation: 2:30 PM / Hank Huff / 3 people&#x0D;
Details&#x0D;
	Location: Very Fine Winery Seattle Tasting Room&#x0D;
	Date: 08/28/2021&#x0D;
	Time: 2:30 PM&#x0D;
	Guests: 3&#x0D;
	Reservation #: 160401&#x0D;
	Order #: 3376&#x0D;
	Prepaid: $22.02&#x0D;
Contact Person&#x0D;
	Hank Huff&#x0D;
	526-369-7895&#x0D;
	hank@orderport.net&#x0D;
Notes: &#x0D;
	test)",,Y,N,9104
Black Diamond,Tony,Stark,,582 Ladle Lane,,Austin,TX,78734,UNITED STATES,123-678-0943,tony@op.po,4/8/1971 0:00,Tony,Stark,,582 Ladle Lane,,Austin,TX,78734,UNITED STATES,123-678-0943,tony@op.po,,,,,Y,Tasting Room,1/20/2021 15:32,,,,,N,N,9105
Black Diamond,Pepper,Potts,,217 Ferro Lane,,Paso Robles,CA,93446,UNITED STATES,789-054-2678,pepper@op.po,5/8/1973 0:00,Pepper,Potts,,217 Ferro Lane,,Paso Robles,CA,93446,UNITED STATES,789-054-2678,pepper@op.po,,,,,Y,Tasting Room,1/20/2021 15:35,,"(Date: 2021-08-25 14:09:46.3787095, Author: Aztlan, Note: Reservation: Reservation Scheduled&#x0D;
Details&#x0D;
	Location: Very Fine Winery Bellevue Tasting Room&#x0D;
	Date: 08/25/2021&#x0D;
	Time: 3:15 PM&#x0D;
	Guests: 2&#x0D;
	Reservation #: 160159&#x0D;
	Order #: 3313&#x0D;
Contact Person&#x0D;
	Carlos Reiner&#x0D;
	125-331-4896&#x0D;
	cpjr90@gmail.com&#x0D;
Notes: &#x0D;
	n/a)",,,Y,N,9106
